CLIP_NAME,DURATION,TIMESTAMP
4.L,0:07.204,0:54.299
10.L,0:17.998,1:01.504
8.L,0:14.409,1:19.502
8.L,0:14.409,1:33.911
8.L,0:14.409,1:48.320
8.L,0:14.409,2:02.729
8.L,0:14.409,2:17.138
8.L,0:14.409,2:31.547
8.L,0:14.409,2:45.956
8.L,0:14.347,3:00.365
8.L,0:14.409,3:14.713
x.L,0:04.384,3:29.122
8.L,0:14.769,0:00.158
8.L,0:14.769,0:14.928
8.L,0:14.769,0:29.697
4.L,0:07.384,0:44.466
8.L,0:14.769,0:51.851
8.L,0:14.769,1:06.620
8.L,0:14.769,1:21.389
4.L,0:07.384,1:36.158
8.L,0:14.769,1:43.543
8.L,0:14.769,1:58.312
4.L,0:07.384,2:13.081
4.L,0:07.384,2:20.466
8.L,0:14.769,2:27.851
8.L,0:14.769,2:42.620
8.L,0:14.769,2:57.389
4.L,0:07.384,3:12.158
8.L,0:14.769,3:19.543
x.L,0:05.540,3:34.312
x.L,0:16.000,0:03.983
8.L,0:21.333,0:19.983
8.L,0:21.333,0:41.317
8.L,0:21.333,1:02.650
8.L,0:21.333,1:23.983
8.L,0:21.333,1:45.317
8.L,0:21.333,2:06.650
8.L,0:21.333,2:27.983
8.L,0:21.333,2:49.317
8.L,0:21.333,3:10.650
8.L,0:21.333,3:31.983
x.L,0:17.296,3:53.317
2.L,0:04.800,0:00.714
4.L,0:09.600,0:05.514
4.L,0:09.600,0:15.114
4.L,0:09.600,0:24.714
4.L,0:09.600,0:34.314
4.L,0:09.600,0:43.914
3.L,0:07.200,0:53.514
4.L,0:09.600,1:00.714
4.L,0:09.600,1:10.314
4.L,0:09.600,1:19.914
x.L,0:05.045,1:29.514
4.L,0:08.275,0:00.248
8.L,0:16.551,0:08.524
8.L,0:16.551,0:25.076
8.L,0:16.551,0:41.627
8.L,0:16.551,0:58.179
8.L,0:16.551,1:14.731
8.L,0:16.551,1:31.282
8.L,0:16.551,1:47.834
8.L,0:16.551,2:04.386
8.L,0:16.551,2:20.938
8.L,0:16.551,2:37.489
8.L,0:16.551,2:54.041
8.L,0:16.551,3:10.593
8.L,0:16.551,3:27.145
x.L,0:09.136,3:43.696
8.L,0:15.483,0:00.956
8.L,0:15.483,0:16.440
8.L,0:15.483,0:31.924
8.L,0:15.483,0:47.407
8.L,0:15.483,1:02.891
8.L,0:15.483,1:18.375
8.L,0:15.483,1:33.859
8.L,0:15.483,1:49.343
8.L,0:15.483,2:04.827
8.L,0:15.483,2:20.311
8.L,0:15.483,2:35.794
8.L,0:15.483,2:51.278
8.L,0:15.483,3:06.762
8.L,0:15.483,3:22.246
8.L,0:15.483,3:37.730
8.L,0:15.483,3:53.214
8.L,0:15.483,4:08.698
8.L,0:15.483,4:24.182
8.L,0:15.483,4:39.665
8.L,0:15.483,4:55.149
4.L,0:07.741,5:10.633
8.L,0:15.483,5:18.375
x.L,0:06.220,5:33.859
4.L,0:09.896,0:00.460
8.L,0:19.793,0:10.357
8.L,0:19.793,0:30.151
8.L,0:19.793,0:49.945
8.L,0:19.793,1:09.739
8.L,0:19.793,1:29.533
8.L,0:19.793,1:49.326
8.L,0:19.793,2:09.120
8.L,0:19.793,2:28.914
8.L,0:19.793,2:48.708
8.L,0:19.793,3:08.502
8.L,0:19.793,3:28.296
8.L,0:19.793,3:48.089
8.L,0:19.793,4:07.883
x.L,0:06.188,4:27.677
8.L,0:15.360,0:00.111
8.L,0:15.360,0:15.471
8.L,0:15.360,0:30.831
8.L,0:15.360,0:46.191
8.L,0:15.360,1:01.551
8.L,0:15.360,1:16.911
8.L,0:15.360,1:32.271
8.L,0:15.360,1:47.631
8.L,0:15.360,2:02.991
8.L,0:15.360,2:18.351
8.L,0:15.360,2:33.711
8.L,0:15.360,2:49.071
8.L,0:15.360,3:04.431
8.L,0:15.360,3:19.791
8.L,0:15.360,3:35.151
8.L,0:15.360,3:50.511
8.L,0:15.360,4:05.871
8.L,0:15.360,4:21.231
x.L,0:02.288,4:36.591
8-04.L,0:30.967,0:00.480
4.L,0:07.741,0:31.447
8-08.L,0:15.483,0:39.189
8.L,0:15.483,0:54.673
8.L,0:15.483,1:10.157
8.L,0:15.483,1:25.641
8.L,0:15.483,1:41.125
4.L,0:07.741,1:56.609
8.L,0:15.483,2:04.351
8.L,0:15.483,2:19.835
8.L,0:15.483,2:35.318
4.L,0:07.741,2:50.802
8.L,0:15.483,2:58.544
8.L,0:15.483,3:14.028
8.L,0:15.483,3:29.512
x.L,0:06.363,3:44.996
6.L,0:12.307,0:01.091
6.L,0:12.307,0:13.399
6.L,0:12.307,0:25.707
6.L,0:12.307,0:38.014
6.L,0:12.307,0:50.322
6.L,0:12.307,1:02.630
6.L,0:12.307,1:14.937
