File1,File2,Timestamp1,Duration1,Timestamp2,Duration2,Time Difference,Duration Difference
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,42.278,14.014,70.4,28.2,28.122s,14.186s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,56.292,14.014,98.6,27.8,42.308s,13.786s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,70.307,14.014,126.4,26.2,56.093s,12.186s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,84.322,14.014,152.6,22.6,68.278s,8.586s
parsed_data_16.csv,parsed_VitalicSegmented16L.csv,98.336,14.014,175.2,16.8,76.864s,2.786s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,0.0,14.269,0.0,27.6,0.000s,13.331s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,14.269,14.014,27.6,14.6,13.331s,0.586s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,28.283,14.014,42.2,20.4,13.917s,6.386s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,42.298,14.014,62.6,14.0,20.302s,0.014s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,56.312,14.014,76.6,14.2,20.288s,0.186s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,70.327,14.014,90.8,10.2,20.473s,3.814s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,84.342,17.518,101.0,5.2,16.658s,12.318s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,101.86,14.014,106.2,5.4,4.340s,8.614s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,115.874,14.014,111.6,5.0,4.274s,9.014s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,129.889,13.994,116.6,5.4,13.289s,8.594s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,143.904,7.027,122.0,5.2,21.904s,1.827s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,150.931,14.014,127.2,5.2,23.731s,8.814s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,164.946,6.993,132.4,5.4,32.546s,1.593s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,171.939,14.014,137.8,5.6,34.139s,8.414s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,185.954,21.021,143.4,13.2,42.554s,7.821s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,206.976,14.014,156.6,5.4,50.376s,8.614s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,220.99,10.51,162.0,5.2,58.990s,5.310s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,231.501,14.014,167.2,33.6,64.301s,19.586s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,245.516,14.014,200.8,5.0,44.716s,9.014s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,259.531,14.014,205.8,14.6,53.731s,0.586s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,273.545,14.014,220.4,9.8,53.145s,4.214s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,287.56,14.014,230.2,5.8,57.360s,8.214s
parsed_data_17.csv,parsed_VitalicSegmented17L.csv,301.574,12.705,236.0,5.2,65.574s,7.505s
parsed_data_18.csv,parsed_VitalicSegmented18L.csv,0.312,7.007,0.0,6.4,0.312s,0.607s
parsed_data_18.csv,parsed_VitalicSegmented18L.csv,7.32,7.007,6.4,28.8,0.920s,21.793s
parsed_data_18.csv,parsed_VitalicSegmented18L.csv,14.327,7.007,35.2,19.6,20.873s,12.593s
