File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_59.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_59.csv,0,19,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_60.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_60.csv,0,24,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_61.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_61.csv,0,18,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_62.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_62.csv,0,24,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_63.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_63.csv,1,13,5,0.0714,0.1667,0.1000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_64.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_64.csv,0,14,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_65.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_65.csv,0,15,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_66.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_66.csv,2,44,4,0.0435,0.3333,0.0769
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_67.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_67.csv,1,12,5,0.0769,0.1667,0.1053
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_68.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_68.csv,0,13,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_69.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_69.csv,0,17,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_70.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_70.csv,1,24,5,0.0400,0.1667,0.0645
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_71.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_71.csv,1,22,5,0.0435,0.1667,0.0690
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthRight\parsed_data_72.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Ruptures_parsed_data\Ruptures_both_channels\parsed_all_segments_song_72.csv,0,21,6,0.0000,0.0000,0.0000
Overall,,25,1271,407,0,0.0193,0.0579,0.0289
